age_category,birth_institution,Country,sex
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,BREC's  Baton Rouge Zoo,United States of America,F
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Birmingham Zoo,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
adult,Bronx Zoo/Wildlife Conservation Society,United States of America,M
